製品名,プラットフォーム,更新日,ダウンロード
"Azure Center for SAP solutions, Azure Monitor for SAP solutions, (Azure Workloads Platform as Service)",Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Center_for_SAP_solutions_Azure_Monitor_for_SAP_solutions_Azure_Workloads_Platform_as_Service_VPATJ01330.xlsx"
Azure Chaos Studio,Azure,2025/09/26,"https://vpatj.azurewebsites.net/file/Azure_Chaos_Studio_VPATJ01340.xlsx"
Azure China CDN Service,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_China_CDN_Service_VPATJ01350.xlsx"
Azure China Support,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_China_Support_Web_VPATJ01360.xlsx"
Azure Cloud HSM,Azure,2025/10/15,"https://vpatj.azurewebsites.net/file/Azure_Cloud_HSM_VPATJ01361.xlsx"
Azure Communication Services,Web,2025/02/26,"https://vpatj.azurewebsites.net/file/Azure_Communication_Services_Web_VPATJ01370.xlsx"
Azure Communications Gateway,Azure,2025/02/04,"https://vpatj.azurewebsites.net/file/Azure_Communications_Gateway_VPATJ01380.xlsx"
Azure Compute Configuration Management,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Compute_Configuration_Management_VPATJ01400.xlsx"
Azure Container Apps,Azure,2026/03/19,"https://vpatj.azurewebsites.net/file/Azure_Container_Apps_VPATJ01410.xlsx"
Azure Container Networking,Web,2026/02/28,"https://vpatj.azurewebsites.net/file/Azure_Container_Networking_Web_VPATJ01411.xlsx"
Azure Container Registry,Azure,2026/06/04,"https://vpatj.azurewebsites.net/file/Azure_Container_Registry_VPATJ01420.xlsx"
Azure Copilot,Azure,2026/05/06,"https://vpatj.azurewebsites.net/file/Azure_Copilot_VPATJ01421.xlsx"
Azure Cosmos DB,Azure,2025/12/02,"https://vpatj.azurewebsites.net/file/Azure_Cosmos_DB_VPATJ01430.xlsx"
Azure Cosmos DB,Web,2025/12/02,"https://vpatj.azurewebsites.net/file/Azure_Cosmos_DB_Web_VPATJ01440.xlsx"
Azure Cosmos DB for MongoDB vCore,Azure,2026/03/20,"https://vpatj.azurewebsites.net/file/Azure_Cosmos_DB_for_MongoDB_vCore_VPATJ01441.xlsx"
Azure Cosmos DB Migration for MongoDB,Linux,2024/05/16,"https://vpatj.azurewebsites.net/file/Azure_Cosmos_DB_Migration_for_MongoDB_Linux_VPATJ01450.xlsx"
Azure Cosmos DB Migration for MongoDB,Mac,2024/05/16,"https://vpatj.azurewebsites.net/file/Azure_Cosmos_DB_Migration_for_MongoDB_Mac_VPATJ01460.xlsx"
Azure Cosmos DB Migration for MongoDB,Web,2024/05/16,"https://vpatj.azurewebsites.net/file/Azure_Cosmos_DB_Migration_for_MongoDB_Web_VPATJ01470.xlsx"
Azure Cosmos DB Migration for MongoDB,Win32,2024/05/16,"https://vpatj.azurewebsites.net/file/Azure_Cosmos_DB_Migration_for_MongoDB_Win32_VPATJ01480.xlsx"
Azure Cost Management,Azure,2025/11/14,"https://vpatj.azurewebsites.net/file/Azure_Cost_Management_VPATJ01481.xlsx"
Azure Customer Lockbox,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Customer_Lockbox_VPATJ01490.xlsx"
Azure CycleCloud,Web,2025/08/07,"https://vpatj.azurewebsites.net/file/Azure_CycleCloud_Web_VPATJ01510.xlsx"
Azure Data Box,Azure,2025/06/27,"https://vpatj.azurewebsites.net/file/Azure_Data_Box_VPATJ01520.xlsx"
